5544,31:02.1,8415
5545,31:02.1,8936
5548,31:02.1,1747
5549,31:02.1,4709
5552,31:02.1,11379
5568,31:02.1,11017
5571,31:02.1,6704
5574,31:02.1,2609
5583,31:02.1,4195
5586,31:02.1,12137
5588,31:02.1,3252
5595,31:02.1,12140
5598,31:02.1,8963
5600,31:02.1,3597
5611,31:02.1,1783
5616,31:02.1,3077
5624,31:02.1,8958
5631,31:02.1,4647
5634,31:02.1,6658
5635,31:02.1,2195
5642,31:02.1,9465
5647,31:02.1,8409
5648,31:02.1,3323
5651,31:02.1,10012
5660,31:02.1,2768
5664,31:02.1,7926
5686,31:02.1,1053
5690,31:02.1,12235
5691,31:02.1,6210
5695,31:02.1,3185
5697,31:02.1,907
5698,31:02.1,10375
5701,31:02.1,579
5713,31:02.1,8637
5719,31:02.1,11058
5720,31:02.1,11100
5726,31:02.1,167
5733,31:02.1,9568
5734,31:02.1,4346
5736,31:02.1,6565
5749,31:02.1,10144
5752,31:02.1,6419
5757,31:02.1,1221
5758,31:02.1,4978
5759,31:02.1,3672
5760,31:02.1,10180
5767,31:02.1,11359
5773,31:02.1,2009
5779,31:02.1,3145
5788,31:02.1,8018
5789,31:02.1,2152
5790,31:02.1,7140
5798,31:02.1,1802
5805,31:02.1,722
5809,31:02.1,9746
5813,31:02.1,415
5818,31:02.1,5356
5820,31:02.1,3896
5821,31:02.1,7206
5825,31:02.1,5938
5833,31:02.1,309
5834,31:02.1,3293
5842,31:02.1,7710
5846,31:02.1,6449
5847,31:02.1,75
5853,31:02.1,9485
5857,31:02.1,116
5858,31:02.1,7531
5862,31:02.1,7571
5868,31:02.1,120
5879,31:02.1,880
5882,31:02.1,4066
5889,31:02.1,12162
5890,31:02.1,8334
5894,31:02.1,2429
5895,31:02.1,8707
5896,31:02.1,9713
5897,31:02.1,8754
5899,31:02.1,8845
5909,31:02.1,6044
5921,31:02.1,4007
5922,31:02.1,1737
5929,31:02.1,2878
5931,31:02.1,3739
5932,31:02.1,5896
5935,31:02.1,6932
5938,31:02.1,9765
5940,31:02.1,8587
5944,31:02.1,5451
5951,31:02.1,6103
5958,31:02.1,2811
5962,31:02.1,1608
5964,31:02.1,6095
5967,31:02.1,7431
5973,31:02.1,11931
5974,31:02.1,10013
5977,31:02.1,10886
5978,31:02.1,12039
5982,31:02.1,3920
5989,31:02.1,6514
5991,31:02.1,4673
5995,31:02.1,1232
6001,31:02.1,72
6002,31:02.1,6628
6011,31:02.1,8777
6015,31:02.1,9311
6016,31:02.1,11235
6026,31:02.1,2009
6039,31:02.1,9988
6045,31:02.1,10633
6049,31:02.1,2667
6053,31:02.1,9107
6062,31:02.1,1515
6064,31:02.1,10133
6070,31:02.1,10211
6071,31:02.1,6264
6072,31:02.1,9468
6074,31:02.1,2557
6079,31:02.1,10042
6092,31:02.1,8921
6095,31:02.1,7505
6096,31:02.1,9407
6098,31:02.1,9100
6099,31:02.1,2552
6107,31:02.1,9124
6111,31:02.1,3757
6117,31:02.1,6670
6121,31:02.1,10762
6123,31:02.1,689
6126,31:02.1,8746
6131,31:02.1,1293
6133,31:02.1,3900
6134,31:02.1,3274
6136,31:02.1,2220
6141,31:02.1,8960
6144,31:02.1,5559
6146,31:02.1,856
6151,31:02.1,3618
6157,31:02.1,9349
6158,31:02.1,2750
6163,31:02.1,9323
6164,31:02.1,3181
6168,31:02.1,2754
6174,31:02.1,2101
6177,31:02.1,6380
6186,31:02.1,9144
6188,31:02.1,12364
6189,31:02.1,1386
6192,31:02.1,10643
6197,31:02.1,4329
6223,31:02.1,625
6238,31:02.1,10886
6239,31:02.1,10887
6244,31:02.1,5638
6250,31:02.1,8180
6253,31:02.1,6426
6254,31:02.1,10460
6255,31:02.1,3595
6256,31:02.1,3713
6258,31:02.1,3739
6261,31:02.1,5613
6268,31:02.1,5853
6269,31:02.1,1835
6273,31:02.1,6307
6286,31:02.1,247
6288,31:02.1,10059
6289,31:02.1,11390
6291,31:02.1,10831
6296,31:02.1,10340
6297,31:02.1,6295
6306,31:02.1,11857
6315,31:02.1,260
6326,31:02.1,6636
6333,31:02.1,7578
6340,31:02.1,437
6341,31:02.1,2541
6344,31:02.1,4115
6345,31:02.1,9244
6359,31:02.1,1110
6362,31:02.1,5535
6378,31:02.1,679
6381,31:02.1,2575
6384,31:02.1,5029
6391,31:02.1,3323
6392,31:02.1,3322
6393,31:02.1,8861
6401,31:02.1,2287
6410,31:02.1,9353
6428,31:02.1,12394
6431,31:02.1,714
6442,31:02.1,5293
6444,31:02.1,1220
6454,31:02.1,10394
6457,31:02.1,3875
6458,31:02.1,6886
6461,31:02.1,564
6464,31:02.1,12228
6469,31:02.1,2586
6479,31:02.1,6643
6480,31:02.1,1271
